timestamp,city,lat,lon,pm25,pm10,no2,o3,co,aqi_est
2025-08-01T00:00:00,CityA,-1.2921,36.8219,15.68,21.63,21.12,35.05,0.271,13.6
2025-08-01T01:00:00,CityA,-1.2921,36.8219,19.9,23.19,16.3,19.01,0.348,15.4
2025-08-01T02:00:00,CityA,-1.2921,36.8219,27.82,28.25,18.29,30.29,0.265,20.4
2025-08-01T03:00:00,CityA,-1.2921,36.8219,14.07,17.19,22.39,48.45,0.32,12.1
2025-08-01T04:00:00,CityA,-1.2921,36.8219,26.18,29.63,17.6,41.67,0.315,19.8
2025-08-01T05:00:00,CityA,-1.2921,36.8219,22.89,24.82,19.35,35.06,0.3,17.5
2025-08-01T06:00:00,CityA,-1.2921,36.8219,25.09,31.26,14.94,43.46,0.439,19.2
2025-08-01T07:00:00,CityA,-1.2921,36.8219,32.03,37.69,33.53,32.68,0.221,25.7
2025-08-01T08:00:00,CityA,-1.2921,36.8219,29.43,32.82,24.61,32.53,0.243,22.6
2025-08-01T09:00:00,CityA,-1.2921,36.8219,25.44,32.19,33.55,40.13,0.338,21.4
2025-08-01T10:00:00,CityA,-1.2921,36.8219,22.7,25.83,13.97,39.5,0.291,17.1
2025-08-01T11:00:00,CityA,-1.2921,36.8219,20.48,29.02,16.41,36.24,0.315,16.7
2025-08-01T12:00:00,CityA,-1.2921,36.8219,16.05,20.82,23.89,33.98,0.375,13.9
2025-08-01T13:00:00,CityA,-1.2921,36.8219,21.63,36.75,16.32,25.94,0.297,18.6
2025-08-01T14:00:00,CityA,-1.2921,36.8219,11.64,19.77,23.61,26.1,0.273,11.5
2025-08-01T15:00:00,CityA,-1.2921,36.8219,10.23,12.86,22.97,23.28,0.279,9.6
2025-08-01T16:00:00,CityA,-1.2921,36.8219,19.41,27.89,21.03,24.64,0.369,16.5
2025-08-01T17:00:00,CityA,-1.2921,36.8219,17.28,21.36,22.69,20.99,0.282,14.5
2025-08-01T18:00:00,CityA,-1.2921,36.8219,22.6,26.73,9.38,23.73,0.28,16.7
2025-08-01T19:00:00,CityA,-1.2921,36.8219,14.96,21.32,19.34,23.35,0.199,13.0
2025-08-01T20:00:00,CityA,-1.2921,36.8219,12.19,21.4,19.93,14.7,0.246,11.7
2025-08-01T21:00:00,CityA,-1.2921,36.8219,12.74,18.04,18.27,21.05,0.3,11.2
2025-08-01T22:00:00,CityA,-1.2921,36.8219,21.12,25.35,17.7,23.89,0.317,16.6
2025-08-01T23:00:00,CityA,-1.2921,36.8219,19.91,27.21,15.4,24.05,0.339,16.0
2025-08-02T00:00:00,CityA,-1.2921,36.8219,17.23,26.38,25.62,36.96,0.256,15.6
2025-08-02T01:00:00,CityA,-1.2921,36.8219,22.91,26.43,23.69,40.6,0.344,18.2
2025-08-02T02:00:00,CityA,-1.2921,36.8219,23.78,27.69,22.6,27.89,0.327,18.8
2025-08-02T03:00:00,CityA,-1.2921,36.8219,20.2,27.06,19.36,33.72,0.256,16.5
2025-08-02T04:00:00,CityA,-1.2921,36.8219,23.78,30.45,24.18,39.56,0.368,19.4
2025-08-02T05:00:00,CityA,-1.2921,36.8219,38.76,42.79,19.18,30.53,0.36,28.4
2025-08-02T06:00:00,CityA,-1.2921,36.8219,32.73,35.13,22.47,44.09,0.311,24.5
2025-08-02T07:00:00,CityA,-1.2921,36.8219,30.3,35.83,25.13,42.97,0.366,23.6
2025-08-02T08:00:00,CityA,-1.2921,36.8219,29.24,31.38,27.0,31.28,0.338,22.5
2025-08-02T09:00:00,CityA,-1.2921,36.8219,31.11,37.39,33.76,31.32,0.307,25.2
2025-08-02T10:00:00,CityA,-1.2921,36.8219,16.89,19.57,23.51,32.8,0.36,14.1
2025-08-02T11:00:00,CityA,-1.2921,36.8219,25.22,38.42,20.38,25.04,0.298,21.1
2025-08-02T12:00:00,CityA,-1.2921,36.8219,16.42,24.35,20.17,29.31,0.294,14.3
2025-08-02T13:00:00,CityA,-1.2921,36.8219,23.64,27.29,23.11,33.16,0.283,18.7
2025-08-02T14:00:00,CityA,-1.2921,36.8219,14.11,17.57,22.84,26.46,0.332,12.3
2025-08-02T15:00:00,CityA,-1.2921,36.8219,26.52,32.21,16.76,29.63,0.303,20.3
2025-08-02T16:00:00,CityA,-1.2921,36.8219,21.27,29.47,16.16,29.98,0.345,17.2
2025-08-02T17:00:00,CityA,-1.2921,36.8219,13.39,19.3,21.03,22.39,0.344,12.0
2025-08-02T18:00:00,CityA,-1.2921,36.8219,23.42,28.44,25.32,26.94,0.312,19.0
2025-08-02T19:00:00,CityA,-1.2921,36.8219,17.29,18.83,14.0,23.1,0.257,13.2
2025-08-02T20:00:00,CityA,-1.2921,36.8219,16.71,20.1,12.85,24.86,0.279,13.0
2025-08-02T21:00:00,CityA,-1.2921,36.8219,18.1,20.42,18.66,32.15,0.306,14.3
2025-08-02T22:00:00,CityA,-1.2921,36.8219,21.48,22.67,29.56,35.22,0.368,17.5
2025-08-02T23:00:00,CityA,-1.2921,36.8219,24.09,29.13,21.77,33.17,0.269,19.1
2025-08-03T00:00:00,CityA,-1.2921,36.8219,19.01,19.01,16.91,38.31,0.283,14.4
2025-08-03T01:00:00,CityA,-1.2921,36.8219,20.94,26.89,13.55,36.8,0.363,16.3
2025-08-03T02:00:00,CityA,-1.2921,36.8219,25.62,35.58,14.69,43.22,0.263,20.2
2025-08-03T03:00:00,CityA,-1.2921,36.8219,18.37,22.66,27.49,35.56,0.253,15.7
2025-08-03T04:00:00,CityA,-1.2921,36.8219,19.09,23.78,12.02,30.43,0.377,14.7
2025-08-03T05:00:00,CityA,-1.2921,36.8219,32.68,37.3,18.14,38.02,0.417,24.4
2025-08-03T06:00:00,CityA,-1.2921,36.8219,28.26,35.99,19.19,38.3,0.332,22.0
2025-08-03T07:00:00,CityA,-1.2921,36.8219,26.7,26.0,35.12,34.65,0.406,21.2
2025-08-03T08:00:00,CityA,-1.2921,36.8219,29.0,34.21,31.76,36.39,0.276,23.4
2025-08-03T09:00:00,CityA,-1.2921,36.8219,25.81,33.46,28.14,32.55,0.282,21.3
2025-08-03T10:00:00,CityA,-1.2921,36.8219,28.5,37.85,21.45,36.91,0.269,22.7
2025-08-03T11:00:00,CityA,-1.2921,36.8219,26.91,33.57,17.16,23.13,0.239,20.8
2025-08-03T12:00:00,CityA,-1.2921,36.8219,17.89,26.38,26.21,27.8,0.28,16.0
2025-08-03T13:00:00,CityA,-1.2921,36.8219,21.25,26.29,23.72,25.31,0.347,17.4
2025-08-03T14:00:00,CityA,-1.2921,36.8219,17.54,25.1,18.92,22.93,0.396,14.8
2025-08-03T15:00:00,CityA,-1.2921,36.8219,23.03,22.65,18.21,30.37,0.24,17.1
2025-08-03T16:00:00,CityA,-1.2921,36.8219,20.76,27.76,17.2,23.03,0.195,16.7
2025-08-03T17:00:00,CityA,-1.2921,36.8219,25.26,29.33,23.22,25.34,0.368,19.8
2025-08-03T18:00:00,CityA,-1.2921,36.8219,14.07,19.68,22.24,26.36,0.358,12.5
2025-08-03T19:00:00,CityA,-1.2921,36.8219,14.02,17.03,25.44,12.09,0.379,12.4
2025-08-03T20:00:00,CityA,-1.2921,36.8219,15.39,20.38,17.27,22.83,0.364,12.8
2025-08-03T21:00:00,CityA,-1.2921,36.8219,21.55,28.03,20.36,17.12,0.258,17.5
2025-08-03T22:00:00,CityA,-1.2921,36.8219,17.02,23.39,20.28,30.92,0.324,14.4
2025-08-03T23:00:00,CityA,-1.2921,36.8219,20.21,32.04,21.62,25.77,0.393,17.6
2025-08-04T00:00:00,CityA,-1.2921,36.8219,27.24,37.69,19.56,34.88,0.227,21.9
2025-08-04T01:00:00,CityA,-1.2921,36.8219,26.45,30.98,14.58,37.23,0.209,19.8
2025-08-04T02:00:00,CityA,-1.2921,36.8219,14.17,20.26,22.29,38.85,0.337,12.7
2025-08-04T03:00:00,CityA,-1.2921,36.8219,32.16,39.26,19.47,35.29,0.286,24.6
2025-08-04T04:00:00,CityA,-1.2921,36.8219,27.04,28.75,21.36,36.5,0.314,20.5
2025-08-04T05:00:00,CityA,-1.2921,36.8219,27.46,25.1,16.39,37.18,0.297,19.6
2025-08-04T06:00:00,CityA,-1.2921,36.8219,27.53,33.44,26.06,39.56,0.284,21.9
2025-08-04T07:00:00,CityA,-1.2921,36.8219,18.07,18.96,32.14,43.03,0.377,15.4
2025-08-04T08:00:00,CityA,-1.2921,36.8219,21.43,25.52,30.97,47.17,0.306,18.1
2025-08-04T09:00:00,CityA,-1.2921,36.8219,32.53,38.04,34.61,40.79,0.308,26.1
2025-08-04T10:00:00,CityA,-1.2921,36.8219,18.63,22.83,25.96,38.39,0.278,15.7
2025-08-04T11:00:00,CityA,-1.2921,36.8219,20.82,20.63,25.78,36.5,0.293,16.4
2025-08-04T12:00:00,CityA,-1.2921,36.8219,22.24,20.72,18.05,36.67,0.349,16.4
2025-08-04T13:00:00,CityA,-1.2921,36.8219,21.6,26.55,23.19,26.52,0.217,17.5
2025-08-04T14:00:00,CityA,-1.2921,36.8219,18.71,24.91,24.49,18.79,0.294,16.0
2025-08-04T15:00:00,CityA,-1.2921,36.8219,17.32,19.02,21.95,28.08,0.285,14.0
2025-08-04T16:00:00,CityA,-1.2921,36.8219,27.18,31.22,18.21,20.69,0.259,20.6
2025-08-04T17:00:00,CityA,-1.2921,36.8219,13.61,14.31,19.23,22.56,0.186,11.1
2025-08-04T18:00:00,CityA,-1.2921,36.8219,15.73,20.85,22.06,28.02,0.343,13.5
2025-08-04T19:00:00,CityA,-1.2921,36.8219,13.3,16.1,22.32,19.54,0.239,11.6
2025-08-04T20:00:00,CityA,-1.2921,36.8219,28.78,32.84,17.49,12.11,0.343,21.6
2025-08-04T21:00:00,CityA,-1.2921,36.8219,12.76,17.85,23.87,19.48,0.304,11.7
2025-08-04T22:00:00,CityA,-1.2921,36.8219,26.36,23.98,16.76,21.48,0.291,18.9
2025-08-04T23:00:00,CityA,-1.2921,36.8219,19.7,21.52,17.38,24.06,0.282,15.2
2025-08-05T00:00:00,CityA,-1.2921,36.8219,22.33,30.06,24.22,33.27,0.256,18.6
2025-08-05T01:00:00,CityA,-1.2921,36.8219,22.51,34.64,24.06,29.87,0.379,19.4
2025-08-05T02:00:00,CityA,-1.2921,36.8219,21.8,24.79,25.58,27.45,0.204,17.6
2025-08-05T03:00:00,CityA,-1.2921,36.8219,29.48,34.56,20.51,33.85,0.288,22.6
2025-08-05T04:00:00,CityA,-1.2921,36.8219,23.28,26.4,18.47,34.86,0.259,17.9
2025-08-05T05:00:00,CityA,-1.2921,36.8219,23.34,20.83,22.74,39.68,0.296,17.4
2025-08-05T06:00:00,CityA,-1.2921,36.8219,27.42,33.24,17.1,35.34,0.326,21.0
2025-08-05T07:00:00,CityA,-1.2921,36.8219,27.1,38.23,36.48,42.39,0.262,23.6
2025-08-05T08:00:00,CityA,-1.2921,36.8219,22.74,24.74,31.12,23.22,0.277,18.6
2025-08-05T09:00:00,CityA,-1.2921,36.8219,23.24,23.67,33.19,29.96,0.313,18.9
2025-08-05T10:00:00,CityA,-1.2921,36.8219,37.66,37.82,19.41,31.96,0.27,27.1
2025-08-05T11:00:00,CityA,-1.2921,36.8219,26.33,34.65,23.09,28.45,0.422,21.2
2025-08-05T12:00:00,CityA,-1.2921,36.8219,12.38,14.29,20.68,30.45,0.324,10.6
2025-08-05T13:00:00,CityA,-1.2921,36.8219,27.84,32.48,20.45,24.96,0.329,21.4
2025-08-05T14:00:00,CityA,-1.2921,36.8219,17.14,21.19,22.17,31.17,0.19,14.3
2025-08-05T15:00:00,CityA,-1.2921,36.8219,19.5,23.69,23.79,23.09,0.365,16.1
2025-08-05T16:00:00,CityA,-1.2921,36.8219,13.52,11.83,24.21,18.85,0.221,11.2
2025-08-05T17:00:00,CityA,-1.2921,36.8219,16.49,20.77,23.29,26.73,0.305,14.0
2025-08-05T18:00:00,CityA,-1.2921,36.8219,11.81,17.67,20.66,24.84,0.256,10.9
2025-08-05T19:00:00,CityA,-1.2921,36.8219,14.4,20.93,24.99,27.1,0.304,13.2
2025-08-05T20:00:00,CityA,-1.2921,36.8219,14.47,20.68,15.63,18.99,0.375,12.2
2025-08-05T21:00:00,CityA,-1.2921,36.8219,19.71,23.67,23.32,30.78,0.278,16.1
2025-08-05T22:00:00,CityA,-1.2921,36.8219,16.6,19.94,23.86,30.87,0.369,14.0
2025-08-05T23:00:00,CityA,-1.2921,36.8219,24.99,25.09,21.12,22.64,0.274,18.8
2025-08-06T00:00:00,CityA,-1.2921,36.8219,22.09,29.6,16.44,18.38,0.309,17.6
2025-08-06T01:00:00,CityA,-1.2921,36.8219,35.75,40.14,20.19,40.98,0.33,26.6
2025-08-06T02:00:00,CityA,-1.2921,36.8219,24.82,31.15,21.0,28.3,0.233,19.7
2025-08-06T03:00:00,CityA,-1.2921,36.8219,34.21,39.76,20.4,35.21,0.339,25.8
2025-08-06T04:00:00,CityA,-1.2921,36.8219,38.26,44.83,17.65,36.26,0.354,28.4
2025-08-06T05:00:00,CityA,-1.2921,36.8219,23.15,30.71,10.72,36.58,0.331,17.8
2025-08-06T06:00:00,CityA,-1.2921,36.8219,32.59,35.13,13.99,36.7,0.244,23.5
2025-08-06T07:00:00,CityA,-1.2921,36.8219,25.32,30.3,24.72,41.75,0.292,20.2
2025-08-06T08:00:00,CityA,-1.2921,36.8219,30.97,30.43,25.93,39.51,0.26,23.1
2025-08-06T09:00:00,CityA,-1.2921,36.8219,23.95,28.95,30.63,32.27,0.307,19.9
2025-08-06T10:00:00,CityA,-1.2921,36.8219,19.82,26.85,19.54,34.78,0.428,16.3
2025-08-06T11:00:00,CityA,-1.2921,36.8219,16.99,26.16,9.36,21.68,0.238,13.8
2025-08-06T12:00:00,CityA,-1.2921,36.8219,15.35,20.96,21.16,28.73,0.293,13.3
2025-08-06T13:00:00,CityA,-1.2921,36.8219,22.58,30.08,14.69,26.12,0.297,17.8
2025-08-06T14:00:00,CityA,-1.2921,36.8219,21.16,23.84,19.64,26.15,0.265,16.5
2025-08-06T15:00:00,CityA,-1.2921,36.8219,14.06,19.36,19.48,26.85,0.247,12.2
2025-08-06T16:00:00,CityA,-1.2921,36.8219,15.15,19.47,23.26,18.37,0.312,13.1
2025-08-06T17:00:00,CityA,-1.2921,36.8219,17.67,27.61,15.97,18.99,0.253,15.0
2025-08-06T18:00:00,CityA,-1.2921,36.8219,7.89,18.18,15.03,17.92,0.366,8.5
2025-08-06T19:00:00,CityA,-1.2921,36.8219,7.64,14.91,14.35,28.51,0.192,7.7
2025-08-06T20:00:00,CityA,-1.2921,36.8219,8.14,11.5,23.89,22.92,0.283,8.4
2025-08-06T21:00:00,CityA,-1.2921,36.8219,24.43,35.9,22.69,21.23,0.279,20.5
2025-08-06T22:00:00,CityA,-1.2921,36.8219,12.29,17.6,13.48,28.76,0.4,10.4
2025-08-06T23:00:00,CityA,-1.2921,36.8219,23.53,27.12,22.11,36.03,0.379,18.5
2025-08-07T00:00:00,CityA,-1.2921,36.8219,16.22,22.75,19.37,34.03,0.319,13.8
2025-08-07T01:00:00,CityA,-1.2921,36.8219,10.68,14.64,20.79,24.9,0.329,9.9
2025-08-07T02:00:00,CityA,-1.2921,36.8219,16.12,18.72,25.37,29.58,0.329,13.7
2025-08-07T03:00:00,CityA,-1.2921,36.8219,16.0,27.25,18.78,36.13,0.309,14.4
2025-08-07T04:00:00,CityA,-1.2921,36.8219,28.6,29.05,19.98,33.63,0.216,21.1
2025-08-07T05:00:00,CityA,-1.2921,36.8219,31.0,34.94,20.97,38.63,0.283,23.4
2025-08-07T06:00:00,CityA,-1.2921,36.8219,36.11,40.97,13.77,36.0,0.325,26.3
2025-08-07T07:00:00,CityA,-1.2921,36.8219,28.73,30.47,33.72,28.91,0.357,22.8
2025-08-07T08:00:00,CityA,-1.2921,36.8219,18.97,23.29,34.26,37.53,0.341,16.8
2025-08-07T09:00:00,CityA,-1.2921,36.8219,27.87,36.72,34.25,33.39,0.332,23.5
2025-08-07T10:00:00,CityA,-1.2921,36.8219,16.1,20.93,23.27,34.67,0.322,13.9
2025-08-07T11:00:00,CityA,-1.2921,36.8219,21.46,29.85,19.68,29.74,0.344,17.7
2025-08-07T12:00:00,CityA,-1.2921,36.8219,14.21,20.71,15.83,36.39,0.287,12.1
2025-08-07T13:00:00,CityA,-1.2921,36.8219,20.62,26.85,12.28,24.68,0.352,16.0
2025-08-07T14:00:00,CityA,-1.2921,36.8219,23.08,28.92,14.6,28.93,0.336,17.8
2025-08-07T15:00:00,CityA,-1.2921,36.8219,17.94,26.61,17.27,21.79,0.176,15.1
2025-08-07T16:00:00,CityA,-1.2921,36.8219,21.51,27.45,13.27,14.28,0.256,16.7
2025-08-07T17:00:00,CityA,-1.2921,36.8219,20.37,24.47,16.78,17.24,0.247,15.9
2025-08-07T18:00:00,CityA,-1.2921,36.8219,6.57,7.95,15.72,25.41,0.292,6.2
2025-08-07T19:00:00,CityA,-1.2921,36.8219,12.28,24.21,17.34,28.11,0.381,11.9
2025-08-07T20:00:00,CityA,-1.2921,36.8219,9.06,14.28,17.93,20.08,0.328,8.7
2025-08-07T21:00:00,CityA,-1.2921,36.8219,14.59,18.1,19.33,22.48,0.241,12.2
2025-08-07T22:00:00,CityA,-1.2921,36.8219,22.72,30.86,21.37,24.12,0.265,18.6
2025-08-07T23:00:00,CityA,-1.2921,36.8219,16.42,28.5,23.75,23.73,0.308,15.3
2025-08-08T00:00:00,CityA,-1.2921,36.8219,19.42,26.17,22.17,35.42,0.257,16.3
2025-08-08T01:00:00,CityA,-1.2921,36.8219,23.05,22.81,14.97,36.49,0.252,16.8
2025-08-08T02:00:00,CityA,-1.2921,36.8219,19.53,24.51,22.78,28.7,0.126,16.1
2025-08-08T03:00:00,CityA,-1.2921,36.8219,20.42,29.04,21.37,42.28,0.243,17.2
2025-08-08T04:00:00,CityA,-1.2921,36.8219,17.37,23.76,20.96,38.46,0.347,14.7
2025-08-08T05:00:00,CityA,-1.2921,36.8219,28.17,34.39,22.86,40.24,0.343,22.1
2025-08-08T06:00:00,CityA,-1.2921,36.8219,31.28,40.87,17.4,40.4,0.281,24.2
2025-08-08T07:00:00,CityA,-1.2921,36.8219,21.9,24.83,31.98,39.82,0.32,18.3
2025-08-08T08:00:00,CityA,-1.2921,36.8219,24.44,29.45,33.27,29.48,0.301,20.5
2025-08-08T09:00:00,CityA,-1.2921,36.8219,25.22,32.48,24.6,43.13,0.311,20.5
2025-08-08T10:00:00,CityA,-1.2921,36.8219,25.07,28.86,22.15,34.24,0.36,19.6
2025-08-08T11:00:00,CityA,-1.2921,36.8219,15.32,20.85,21.63,31.14,0.28,13.3
2025-08-08T12:00:00,CityA,-1.2921,36.8219,19.42,24.95,12.76,34.83,0.276,15.1
2025-08-08T13:00:00,CityA,-1.2921,36.8219,20.58,26.68,17.9,27.27,0.198,16.5
2025-08-08T14:00:00,CityA,-1.2921,36.8219,22.4,30.64,13.2,23.97,0.239,17.6
2025-08-08T15:00:00,CityA,-1.2921,36.8219,16.81,23.76,23.95,29.95,0.366,14.8
2025-08-08T16:00:00,CityA,-1.2921,36.8219,15.79,17.35,19.54,26.24,0.239,12.7
2025-08-08T17:00:00,CityA,-1.2921,36.8219,24.71,32.4,19.17,18.72,0.267,19.7
2025-08-08T18:00:00,CityA,-1.2921,36.8219,16.61,20.92,23.8,20.29,0.325,14.2
2025-08-08T19:00:00,CityA,-1.2921,36.8219,16.26,22.07,19.08,25.81,0.336,13.7
2025-08-08T20:00:00,CityA,-1.2921,36.8219,19.21,26.03,16.22,24.69,0.362,15.6
2025-08-08T21:00:00,CityA,-1.2921,36.8219,20.16,22.07,19.8,26.22,0.262,15.7
2025-08-08T22:00:00,CityA,-1.2921,36.8219,11.94,16.0,17.04,25.93,0.22,10.3
2025-08-08T23:00:00,CityA,-1.2921,36.8219,22.77,25.86,23.98,26.54,0.299,18.1
2025-08-09T00:00:00,CityA,-1.2921,36.8219,20.37,23.31,29.89,27.52,0.351,17.1
2025-08-09T01:00:00,CityA,-1.2921,36.8219,17.06,23.18,21.92,31.95,0.271,14.6
2025-08-09T02:00:00,CityA,-1.2921,36.8219,22.42,26.21,29.61,33.89,0.326,18.5
2025-08-09T03:00:00,CityA,-1.2921,36.8219,33.68,36.05,20.15,34.31,0.296,24.9
2025-08-09T04:00:00,CityA,-1.2921,36.8219,24.67,27.48,20.78,31.62,0.349,19.0
2025-08-09T05:00:00,CityA,-1.2921,36.8219,29.18,32.7,18.22,39.1,0.26,21.9
2025-08-09T06:00:00,CityA,-1.2921,36.8219,35.3,41.37,21.57,41.41,0.271,26.7
2025-08-09T07:00:00,CityA,-1.2921,36.8219,31.51,36.85,33.8,36.74,0.366,25.3
