timestamp,city,temperature_c,humidity_pct,wind_speed_m_s,pressure_hpa
2025-08-01T00:00:00,CityA,15.16,84.9,1.89,1015.6
2025-08-01T01:00:00,CityA,15.85,80.2,2.24,1011.3
2025-08-01T02:00:00,CityA,18.42,81.0,1.73,1011.5
2025-08-01T03:00:00,CityA,16.66,72.3,3.41,1006.6
2025-08-01T04:00:00,CityA,20.03,67.9,4.38,1010.2
2025-08-01T05:00:00,CityA,21.47,72.4,3.14,1006.1
2025-08-01T06:00:00,CityA,20.28,56.5,4.29,1009.3
2025-08-01T07:00:00,CityA,20.41,46.4,3.66,1006.5
2025-08-01T08:00:00,CityA,21.77,53.5,2.92,1012.9
2025-08-01T09:00:00,CityA,21.21,37.0,3.83,1007.2
2025-08-01T10:00:00,CityA,22.25,45.2,2.94,1011.1
2025-08-01T11:00:00,CityA,20.38,50.8,2.87,1011.4
2025-08-01T12:00:00,CityA,19.64,34.1,2.33,1004.0
2025-08-01T13:00:00,CityA,21.17,32.7,1.18,1005.8
2025-08-01T14:00:00,CityA,20.44,49.4,1.42,1011.4
2025-08-01T15:00:00,CityA,19.62,50.0,1.17,1001.9
2025-08-01T16:00:00,CityA,19.73,54.8,0.52,1004.1
2025-08-01T17:00:00,CityA,18.16,56.8,0.33,1010.6
2025-08-01T18:00:00,CityA,18.43,74.4,0.57,1011.0
2025-08-01T19:00:00,CityA,15.54,62.2,0.48,1013.5
2025-08-01T20:00:00,CityA,17.03,81.6,0.0,1006.0
2025-08-01T21:00:00,CityA,17.07,82.8,0.96,996.6
2025-08-01T22:00:00,CityA,14.75,79.3,0.8,1010.6
2025-08-01T23:00:00,CityA,18.03,87.9,2.02,1009.8
2025-08-02T00:00:00,CityA,15.45,84.5,2.01,1010.2
2025-08-02T01:00:00,CityA,14.66,75.0,2.76,1006.7
2025-08-02T02:00:00,CityA,17.46,79.8,2.99,1011.7
2025-08-02T03:00:00,CityA,18.62,70.4,2.33,1007.4
2025-08-02T04:00:00,CityA,19.52,62.8,2.78,1006.9
2025-08-02T05:00:00,CityA,17.21,58.3,3.95,1007.8
2025-08-02T06:00:00,CityA,18.05,56.9,3.76,1004.5
2025-08-02T07:00:00,CityA,21.91,46.2,3.25,1008.8
2025-08-02T08:00:00,CityA,20.57,49.6,3.69,1009.9
2025-08-02T09:00:00,CityA,20.82,48.6,3.16,1008.0
2025-08-02T10:00:00,CityA,21.7,38.2,2.32,1012.4
2025-08-02T11:00:00,CityA,22.08,45.3,2.71,1007.3
2025-08-02T12:00:00,CityA,22.45,38.2,2.46,1009.6
2025-08-02T13:00:00,CityA,21.14,42.7,2.02,1005.1
2025-08-02T14:00:00,CityA,18.25,46.7,1.43,1007.7
2025-08-02T15:00:00,CityA,19.86,37.4,2.57,1013.9
2025-08-02T16:00:00,CityA,19.39,50.5,0.39,1006.1
2025-08-02T17:00:00,CityA,17.73,49.7,0.15,1005.7
2025-08-02T18:00:00,CityA,17.45,57.7,0.77,1011.4
2025-08-02T19:00:00,CityA,16.8,81.1,0.96,1006.2
2025-08-02T20:00:00,CityA,16.6,69.7,0.03,1005.7
2025-08-02T21:00:00,CityA,16.29,78.3,0.42,1012.9
2025-08-02T22:00:00,CityA,15.99,84.5,1.79,1009.5
2025-08-02T23:00:00,CityA,17.71,72.6,2.81,1007.4
2025-08-03T00:00:00,CityA,15.99,76.6,1.81,1018.8
2025-08-03T01:00:00,CityA,15.97,84.4,2.27,1012.8
2025-08-03T02:00:00,CityA,16.49,78.9,3.06,1007.8
2025-08-03T03:00:00,CityA,21.18,78.2,2.95,1007.9
2025-08-03T04:00:00,CityA,18.76,62.7,4.19,1011.3
2025-08-03T05:00:00,CityA,19.32,71.5,3.09,1006.5
2025-08-03T06:00:00,CityA,19.99,60.8,3.77,1005.6
2025-08-03T07:00:00,CityA,20.22,36.3,2.86,1012.1
2025-08-03T08:00:00,CityA,22.4,43.1,3.14,1010.1
2025-08-03T09:00:00,CityA,22.84,55.0,3.14,1009.2
2025-08-03T10:00:00,CityA,19.91,43.3,3.79,1013.9
2025-08-03T11:00:00,CityA,21.75,42.5,2.04,1008.9
2025-08-03T12:00:00,CityA,21.42,40.9,2.51,1012.9
2025-08-03T13:00:00,CityA,21.39,34.7,1.13,1007.3
2025-08-03T14:00:00,CityA,20.43,30.5,1.25,1014.2
2025-08-03T15:00:00,CityA,20.22,43.8,0.59,1012.4
2025-08-03T16:00:00,CityA,19.01,48.5,0.41,1010.2
2025-08-03T17:00:00,CityA,17.51,59.5,1.17,1005.9
2025-08-03T18:00:00,CityA,15.67,68.1,0.58,1006.6
2025-08-03T19:00:00,CityA,17.7,67.2,1.65,1009.3
2025-08-03T20:00:00,CityA,17.38,61.3,1.4,1012.8
2025-08-03T21:00:00,CityA,17.67,80.8,0.89,1006.5
2025-08-03T22:00:00,CityA,14.92,66.8,0.79,1011.3
2025-08-03T23:00:00,CityA,15.69,78.0,1.22,1004.7
2025-08-04T00:00:00,CityA,16.27,82.3,1.5,1008.4
2025-08-04T01:00:00,CityA,18.37,86.3,1.65,1009.7
2025-08-04T02:00:00,CityA,18.89,76.0,2.62,1013.3
2025-08-04T03:00:00,CityA,19.05,79.8,2.93,1012.0
2025-08-04T04:00:00,CityA,20.44,69.7,3.1,1013.7
2025-08-04T05:00:00,CityA,21.88,77.9,3.26,1009.2
2025-08-04T06:00:00,CityA,18.91,60.7,2.96,1008.4
2025-08-04T07:00:00,CityA,21.61,57.2,2.54,1014.7
2025-08-04T08:00:00,CityA,19.94,44.2,2.68,1008.0
2025-08-04T09:00:00,CityA,20.47,40.6,1.83,1010.4
2025-08-04T10:00:00,CityA,21.92,56.1,2.99,1008.5
2025-08-04T11:00:00,CityA,20.1,40.1,2.61,1008.5
2025-08-04T12:00:00,CityA,21.32,51.4,1.81,1004.3
2025-08-04T13:00:00,CityA,21.82,42.6,0.76,1011.3
2025-08-04T14:00:00,CityA,18.95,45.3,2.2,1009.5
2025-08-04T15:00:00,CityA,20.72,38.5,0.18,1016.1
2025-08-04T16:00:00,CityA,19.01,53.8,1.28,1008.4
2025-08-04T17:00:00,CityA,18.86,58.9,0.0,1014.5
2025-08-04T18:00:00,CityA,18.71,52.3,0.6,1009.3
2025-08-04T19:00:00,CityA,18.23,56.7,2.35,1009.5
2025-08-04T20:00:00,CityA,16.93,78.3,0.6,1009.7
2025-08-04T21:00:00,CityA,15.14,68.8,1.08,1009.6
2025-08-04T22:00:00,CityA,15.03,74.6,1.54,1007.6
2025-08-04T23:00:00,CityA,15.45,84.7,1.74,1006.9
2025-08-05T00:00:00,CityA,16.02,82.6,2.49,1007.7
2025-08-05T01:00:00,CityA,15.85,75.1,2.07,1011.2
2025-08-05T02:00:00,CityA,17.86,83.6,2.7,1005.8
2025-08-05T03:00:00,CityA,18.67,75.1,3.09,1006.1
2025-08-05T04:00:00,CityA,18.41,62.8,3.54,1008.7
2025-08-05T05:00:00,CityA,18.8,56.0,3.96,1009.2
2025-08-05T06:00:00,CityA,20.25,55.6,2.67,1008.4
2025-08-05T07:00:00,CityA,20.32,56.6,3.27,1007.8
2025-08-05T08:00:00,CityA,19.44,50.3,2.9,1014.0
2025-08-05T09:00:00,CityA,21.72,49.2,2.94,1010.6
2025-08-05T10:00:00,CityA,20.58,35.6,2.76,1011.7
2025-08-05T11:00:00,CityA,19.21,37.7,3.31,1011.4
2025-08-05T12:00:00,CityA,23.09,36.2,1.77,1012.9
2025-08-05T13:00:00,CityA,21.52,40.1,0.98,1013.5
2025-08-05T14:00:00,CityA,23.16,33.2,1.95,1008.6
2025-08-05T15:00:00,CityA,19.02,47.5,0.34,1009.9
2025-08-05T16:00:00,CityA,16.71,52.9,1.82,1008.1
2025-08-05T17:00:00,CityA,17.67,54.1,1.04,1011.2
2025-08-05T18:00:00,CityA,18.25,57.0,0.72,999.9
2025-08-05T19:00:00,CityA,17.33,57.9,0.39,1012.2
2025-08-05T20:00:00,CityA,14.2,76.5,0.64,1014.4
2025-08-05T21:00:00,CityA,14.66,63.3,0.92,1011.8
2025-08-05T22:00:00,CityA,16.45,70.5,0.44,1009.1
2025-08-05T23:00:00,CityA,16.37,82.1,2.4,1008.9
2025-08-06T00:00:00,CityA,13.83,87.2,2.1,1010.8
2025-08-06T01:00:00,CityA,17.44,86.9,2.38,1013.5
2025-08-06T02:00:00,CityA,17.81,73.4,2.63,1011.9
2025-08-06T03:00:00,CityA,17.02,79.5,3.14,1011.1
2025-08-06T04:00:00,CityA,20.37,72.1,3.33,1009.8
2025-08-06T05:00:00,CityA,19.26,67.1,4.13,1008.2
2025-08-06T06:00:00,CityA,19.32,67.7,3.22,1010.6
2025-08-06T07:00:00,CityA,20.06,44.7,3.55,1013.3
2025-08-06T08:00:00,CityA,21.17,41.1,3.35,1007.7
2025-08-06T09:00:00,CityA,18.4,45.4,3.32,1013.5
2025-08-06T10:00:00,CityA,23.75,46.6,3.22,1006.1
2025-08-06T11:00:00,CityA,23.49,48.3,2.2,1012.0
2025-08-06T12:00:00,CityA,21.94,48.8,1.92,1007.8
2025-08-06T13:00:00,CityA,20.18,46.1,0.65,1001.0
2025-08-06T14:00:00,CityA,21.22,44.3,1.26,1006.1
2025-08-06T15:00:00,CityA,17.37,42.1,1.12,1008.2
2025-08-06T16:00:00,CityA,19.73,44.3,0.44,1012.1
2025-08-06T17:00:00,CityA,17.42,52.9,0.23,1007.5
2025-08-06T18:00:00,CityA,17.57,62.9,0.61,1008.2
2025-08-06T19:00:00,CityA,16.28,74.8,0.0,1015.7
2025-08-06T20:00:00,CityA,16.17,68.9,1.18,1003.8
2025-08-06T21:00:00,CityA,17.4,85.3,1.48,1003.7
2025-08-06T22:00:00,CityA,16.56,87.2,2.02,1005.8
2025-08-06T23:00:00,CityA,16.97,90.1,1.63,1005.6
2025-08-07T00:00:00,CityA,17.04,86.3,1.93,1006.4
2025-08-07T01:00:00,CityA,17.7,74.7,2.59,1014.7
2025-08-07T02:00:00,CityA,15.16,82.8,2.65,1009.5
2025-08-07T03:00:00,CityA,18.49,69.5,2.47,1004.6
2025-08-07T04:00:00,CityA,20.12,67.8,3.58,1008.5
2025-08-07T05:00:00,CityA,18.03,69.1,3.61,1009.3
2025-08-07T06:00:00,CityA,20.51,54.2,4.03,1013.9
2025-08-07T07:00:00,CityA,21.68,52.6,3.48,1014.7
2025-08-07T08:00:00,CityA,22.78,62.0,2.91,1007.4
2025-08-07T09:00:00,CityA,21.7,48.3,2.99,1008.8
2025-08-07T10:00:00,CityA,23.17,42.1,2.14,1006.7
2025-08-07T11:00:00,CityA,21.84,58.7,1.9,1009.1
2025-08-07T12:00:00,CityA,24.13,37.1,2.23,1015.6
2025-08-07T13:00:00,CityA,19.63,38.8,1.37,1005.4
2025-08-07T14:00:00,CityA,22.03,39.2,0.81,1008.7
2025-08-07T15:00:00,CityA,20.54,46.5,0.54,1011.2
2025-08-07T16:00:00,CityA,19.62,49.9,0.58,1013.0
2025-08-07T17:00:00,CityA,17.65,64.5,0.17,1007.7
2025-08-07T18:00:00,CityA,16.06,58.6,0.5,1006.0
2025-08-07T19:00:00,CityA,16.64,68.6,0.0,1008.4
2025-08-07T20:00:00,CityA,16.73,63.5,0.54,1013.3
2025-08-07T21:00:00,CityA,17.9,76.8,0.85,1008.5
2025-08-07T22:00:00,CityA,16.74,84.1,0.67,1012.7
2025-08-07T23:00:00,CityA,15.02,74.2,1.53,1013.0
2025-08-08T00:00:00,CityA,16.42,81.7,2.18,1011.4
2025-08-08T01:00:00,CityA,16.39,83.1,2.06,1012.0
2025-08-08T02:00:00,CityA,18.17,81.5,3.13,1011.4
2025-08-08T03:00:00,CityA,19.28,60.5,3.49,1015.9
2025-08-08T04:00:00,CityA,17.9,65.6,3.94,1007.2
2025-08-08T05:00:00,CityA,18.62,66.2,3.05,1012.6
2025-08-08T06:00:00,CityA,19.2,62.2,3.64,1015.0
2025-08-08T07:00:00,CityA,22.17,51.6,2.82,1012.5
2025-08-08T08:00:00,CityA,20.46,48.0,2.77,1012.0
2025-08-08T09:00:00,CityA,20.77,45.6,3.05,1010.6
2025-08-08T10:00:00,CityA,22.44,41.2,2.38,1004.4
2025-08-08T11:00:00,CityA,21.67,39.7,2.03,1010.2
2025-08-08T12:00:00,CityA,22.27,46.7,1.23,1008.9
2025-08-08T13:00:00,CityA,21.92,50.3,1.2,1014.1
2025-08-08T14:00:00,CityA,18.53,49.6,1.11,1014.7
2025-08-08T15:00:00,CityA,18.87,44.0,0.87,1005.4
2025-08-08T16:00:00,CityA,16.53,53.1,1.2,1011.8
2025-08-08T17:00:00,CityA,16.36,57.7,0.06,1011.2
2025-08-08T18:00:00,CityA,18.5,62.2,1.23,1009.6
2025-08-08T19:00:00,CityA,16.26,65.6,0.0,1008.8
2025-08-08T20:00:00,CityA,15.67,68.3,0.84,1005.6
2025-08-08T21:00:00,CityA,14.37,80.9,0.0,1011.8
2025-08-08T22:00:00,CityA,15.2,78.3,2.03,1009.6
2025-08-08T23:00:00,CityA,16.5,79.7,1.56,1009.3
2025-08-09T00:00:00,CityA,16.89,75.6,1.43,1010.2
2025-08-09T01:00:00,CityA,16.76,68.4,2.38,1006.3
2025-08-09T02:00:00,CityA,17.9,66.5,3.71,1009.0
2025-08-09T03:00:00,CityA,16.83,72.4,3.34,1012.7
2025-08-09T04:00:00,CityA,18.32,61.4,2.69,1010.9
2025-08-09T05:00:00,CityA,20.61,71.9,3.53,1012.9
2025-08-09T06:00:00,CityA,22.44,67.1,3.96,1007.6
2025-08-09T07:00:00,CityA,21.92,57.6,3.77,1013.8
